Ana Kategori;Alt Kategori;Marka;Ürün Adı;Fiyat;Resim URL;Sosyal Kanıt (Favori);Yıldız;Yorum Sayısı
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"RS3 PRO X ELEKTİRİKLİ BİSİKLET";"37.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1784/prod/QC_ENRICHMENT/20251101/11/5ee44527-7e9b-3f81-900c-db1d2aa4b844/1_org_zoom.jpg";"En Çok Ziyaret Edilen 1. Ürün";"4.1";"68"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"ROBUSTO PREMIUM ELEKTRİKLİ BİSİKLET - 750W (AYNA, ÇANTA VE ELGAZI HEDİYELİ)";"39.541,65 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1850/prod/QC_ENRICHMENT/20260401/13/2fac6c14-649e-3780-a9c2-f7ebc1a5719b/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"22"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"E1 PRO ELEKTRİKLİ SCOOTER GAZ KOLU HEDİYELİ";"28.121,26 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1840/prod/QC_PREP/20260318/17/09f8fc69-cbfb-331b-b80e-98f9749947cb/1_org_zoom.jpg";"En Çok Ziyaret Edilen 4. Ürün";"2";"2"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"GENON ULTRA 750W ELEKTRİKLİ BİSİKLET AYNA ÇANTA VE EL GAZI HEDİYELİ";"47.746 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1851/prod/QC_PREP/20260406/13/e5fa42fe-b800-3eec-976c-80537e93f5cd/1_org_zoom.jpg";"En Çok Satan 2. Ürün";"4.0";"6"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"NITRO-16 PEDAL DESTEKLİ ELEKTRİKLİ BİSİKLET (SİYAH)";"24.150 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1750/prod/QC_ENRICHMENT/20250908/11/4a006466-13ec-3166-b330-172867e42404/1_org_zoom.jpg";"En Çok Satan 5. Ürün";"3.9";"27"
"Spor&Outdoor";"Elektrikli Bisiklet";"OLA";"Electrolight EFL2 Elektrikli Katlanabilir Bisiklet 20”";"21.230 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1688/prod/QC_PREP/20250530/21/4c13e894-0f4f-304b-a826-53dc042adbe6/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.4";"19"
"Spor&Outdoor";"Elektrikli Bisiklet";"Genel Markalar";"Rks Rs3 Pro - X Elektrikli Bisiklet - Siyah 36v10ah Elektrikli Bisiklet";"33.833,79 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1715/prod/QC_ENRICHMENT/20250722/09/66f5ab42-16e3-3ff9-aa2a-cf3c149988a6/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.3";"59"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"E1 PRO ELEKTRİKLİ SCOOTER";"28.137,44 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1839/prod/QC_PREP/20260318/17/8458fc6b-f1f3-3e6a-803c-9ad8a2980d13/1_org_zoom.jpg";"En Çok Ziyaret Edilen 6. Ürün";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Elektrikli Bn5 Pro Katlanabilir Bisiklet Siyah";"30.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1629/prod/QC/20250131/19/564e1961-2492-334e-8c71-e983f6d0a5eb/1_org_zoom.jpg";"En Çok Favorilenen 4. Ürün";"2";"60"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"Vb2 Katlanabilir Elektrikli Bisiklet";"32.600 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1000399/product/media/images/prod/PIM/20260515/06/6ca9a52f-3fee-443e-b20c-ae80c8c308e1/1_org_zoom.jpg";"En Çok Favorilenen 5. Ürün";"3.4";"47"
